Album,Artist,Rating,Date,Cover
Slow Riot for New Zero Kanada,Godspeed You! Black Emperor,5.0,2023-08-11 17:31:44,https://i.scdn.co/image/ab67616d00001e027f29e53fb8365b595fe94042
In the Aeroplane Over the Sea,Neutral Milk Hotel,5.0,2023-08-11 16:30:54,https://i.scdn.co/image/ab67616d00001e02589ce9a911c6e65b1f80c558
Past Masters (Vols. 1 & 2 / Remastered),The Beatles,4.0,2023-08-10 01:31:42,https://i.scdn.co/image/ab67616d00001e028d23bdb7c0a6c420f4ffa644
Rage Against The Machine,Rage Against The Machine,5.0,2023-08-10 01:27:27,https://i.scdn.co/image/ab67616d00001e0224f31a0a281320f0cec6f86f
The Velvet Underground (45th Anniversary),The Velvet Underground,4.5,2023-08-10 01:25:23,https://i.scdn.co/image/ab67616d00001e029a2c40b6a1af4a92aac991c5
The Velvet Underground & Nico 45th Anniversary,The Velvet Underground,5.0,2023-08-10 01:24:09,https://i.scdn.co/image/ab67616d00001e0298260c528e6eec9dd431c1d7
White Light / White Heat,The Velvet Underground,4.5,2023-08-10 01:23:16,https://i.scdn.co/image/ab67616d00001e027195c4f5f2f4a8236748baaf
Deloused in the Comatorium,The Mars Volta,5.0,2023-08-10 01:22:29,https://i.scdn.co/image/ab67616d00001e02f32a4535c09f7cae822bd695
MTV Unplugged In New York,Nirvana,4.0,2023-08-10 01:20:29,https://i.scdn.co/image/ab67616d00001e0236c5417732e53e23cb219246
Red (Expanded & Remastered Original Album Mix),King Crimson,4.5,2023-08-10 01:18:56,https://i.scdn.co/image/ab67616d00001e020960f0681fc6e31fdc55cc43
My Beautiful Dark Twisted Fantasy,Kanye West,5.0,2023-08-10 01:17:44,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f
Nevermind (Remastered),Nirvana,5.0,2023-08-10 01:16:16,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
On Avery Island,Neutral Milk Hotel,4.5,2023-08-10 01:12:57,https://i.scdn.co/image/ab67616d00001e029f087eef6afc186470d90f1c
Origin of Symmetry,Muse,4.0,2023-08-10 01:10:49,https://i.scdn.co/image/ab67616d00001e025225e9931a558f6d2f541a7d
The Black Saint And The Sinner Lady,Charles Mingus,4.5,2023-08-10 01:07:43,https://i.scdn.co/image/ab67616d00001e02eb5b1b39c6c992b79b27651e
WORRY.,Jeff Rosenstock,5.0,2023-08-10 01:06:57,https://i.scdn.co/image/ab67616d00001e02649a3a7d78c5ff15f2665e97
Viva Hate,Morrissey,4.5,2023-08-10 01:04:15,https://i.scdn.co/image/ab67616d00001e02b7edad0ea25d4b0853cf9eb7
Let's Get Out Of This Country,Camera Obscura,5.0,2023-08-10 00:54:39,https://i.scdn.co/image/ab67616d00001e02a436beaab32153e205b62f0a
Re,Café Tacvba,5.0,2023-08-10 00:53:00,https://i.scdn.co/image/ab67616d00001e023b9211139eb247b12f6ba6c5
Elliott Smith,Elliott Smith,4.5,2023-08-10 00:47:11,https://i.scdn.co/image/ab67616d00001e02e4983a286a861bd8ff67bc53
