Album,Artist
Jukebox (South America/Mexico Version),Cat Power
Kill Uncle (2013 Remaster),Morrissey
De Tierra y Cielo,Julio Revueltas
El Equilibrio De Los Jaguares,Jaguares
Your Arsenal (Definitive Master),Morrissey
PERSONA5 ORIGINAL SOUNDTRACK,アトラスサウンドチーム
Adore (2014 Remaster),The Smashing Pumpkins
Far (Deluxe Version),Regina Spektor
MTV Unplugged Música De Fondo (Reissue/Live),Zoé
Cronicas De Un Laberinto,Jaguares
Max & Match,LOOΠΔ / ODD EYE CIRCLE
Viva Hate (2011 Remaster),Morrissey
Paper Dolls,Descartes A Kant
