Album_id,Album,Track,Artist_Track,Number,Goated,Rating,Duration
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Introduction,Boris,1,0,,581426
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Ibitsu,Boris,2,0,,201573
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Furi,Boris,3,0,,199826
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Naki Kyoku,Boris,4,0,,733733
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Ano Onna No Onryou,Boris,5,0,,388600
00oVPPcp3eor9x6VG2hvhy,Akuma No Uta,Akuma No Uta,Boris,6,0,,240666
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Contender,The Pains Of Being Pure At Heart,1,0,4.0,155997
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Come Saturday,The Pains Of Being Pure At Heart,2,0,5.0,193249
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Young Adult Friction,The Pains Of Being Pure At Heart,3,0,3.5,243929
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,This Love Is Fucking Right!,The Pains Of Being Pure At Heart,4,0,4.0,191552
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,The Tenure Itch,The Pains Of Being Pure At Heart,5,0,4.0,221956
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Stay Alive,The Pains Of Being Pure At Heart,6,0,3.0,292002
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Everything With You,The Pains Of Being Pure At Heart,7,0,3.0,175635
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,A Teenager in Love,The Pains Of Being Pure At Heart,8,0,4.5,199999
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Hey Paul,The Pains Of Being Pure At Heart,9,0,2.5,119968
014VFkpQp37zfAXRyyZmBq,The Pains of Being Pure at Heart,Gentle Sons,The Pains Of Being Pure At Heart,10,0,2.5,270014
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Our Prayer,The Beach Boys,1,0,5.0,64969
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Gee,The Beach Boys,2,0,5.0,51093
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Heroes And Villains,The Beach Boys,3,0,5.0,291960
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Do You Like Worms (Roll Plymouth Rock),The Beach Boys,4,0,4.0,214645
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,I'm In Great Shape,The Beach Boys,5,0,3.5,27826
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Barnyard,The Beach Boys,6,0,3.5,47786
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,My Only Sunshine/The Old Master Painter/You Are My Sunshine,The Beach Boys,7,0,4.5,115160
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Cabin Essence,The Beach Boys,8,0,4.0,210066
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Wonderful,The Beach Boys,9,0,4.5,123760
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Look (Song For Children),The Beach Boys,10,0,5.0,150790
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Child Is Father Of The Man,The Beach Boys,11,0,5.0,129786
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Surf's Up,The Beach Boys,12,1,5.0,252266
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,I Wanna Be Around/Workshop,The Beach Boys,13,0,4.0,83213
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Vega-Tables,The Beach Boys,14,0,4.5,228560
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Holidays,The Beach Boys,15,0,4.0,152346
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Wind Chimes,The Beach Boys,16,0,4.0,186026
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,The Elements: Fire (Mrs. O'Leary's Cow),The Beach Boys,17,0,3.5,154573
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Love To Say Dada,The Beach Boys,18,0,3.0,152160
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Good Vibrations,The Beach Boys,19,1,5.0,255400
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,You're Welcome,The Beach Boys,20,0,,67866
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Heroes And Villains - Stereo Mix/2011 Smile Version,The Beach Boys,21,0,,293133
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Heroes And Villains Sections - Stereo Mix/2011 Smile Version,The Beach Boys,22,0,,436000
